PMAID,Zipcode,Name,Feature_ID,hours,Feature_Desc
405,98144,Colman Park,25,6 a.m. - 10 p.m.,P-Patch Community Garden
405,98144,Colman Park,44,6 a.m. - 10 p.m.,Soccer
405,98144,Colman Park,9,6 a.m. - 10 p.m.,Weddings and Ceremonies
405,98144,Colman Park,37,6 a.m. - 10 p.m.,Woods
4034,98118,Columbia Park,33,4 a.m. - 11:30 p.m.,Paths
4034,98118,Columbia Park,34,4 a.m. - 11:30 p.m.,View
308,98107,Commodore Park,33,4 a.m. - 11:30 p.m.,Paths
308,98107,Commodore Park,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
308,98107,Commodore Park,27,4 a.m. - 11:30 p.m.,Restrooms
308,98107,Commodore Park,40,4 a.m. - 11:30 p.m.,Restrooms (ADA Compliant)
308,98107,Commodore Park,34,4 a.m. - 11:30 p.m.,View
295,98116,Cormorant Cove,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
295,98116,Cormorant Cove,34,4 a.m. - 11:30 p.m.,View
295,98116,Cormorant Cove,36,4 a.m. - 11:30 p.m.,Waterfront
4462,98106,Cottage Grove Park,33,4 a.m. - 11:30 p.m.,Paths
4462,98106,Cottage Grove Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
483,98105,Cowen Park,45,4 a.m. - 11:30 p.m.,Baseball/Softball
483,98105,Cowen Park,3,4 a.m. - 11:30 p.m.,Basketball (Full)
483,98105,Cowen Park,11,4 a.m. - 11:30 p.m.,Creek
483,98105,Cowen Park,58,4 a.m. - 11:30 p.m.,Hiking Trails
483,98105,Cowen Park,18,4 a.m. - 11:30 p.m.,Historic Landmark
483,98105,Cowen Park,33,4 a.m. - 11:30 p.m.,Paths
483,98105,Cowen Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
483,98105,Cowen Park,26,4 a.m. - 11:30 p.m.,Rental Facility
483,98105,Cowen Park,27,4 a.m. - 11:30 p.m.,Restrooms
483,98105,Cowen Park,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor)
483,98105,Cowen Park,37,4 a.m. - 11:30 p.m.,Woods
4070,98117,Crown Hill Glen,33,4 a.m. - 11:30 p.m.,Paths
4070,98117,Crown Hill Glen,37,4 a.m. - 11:30 p.m.,Woods
4469,98117,Crown Hill Park,33,4 a.m. - 11:30 p.m.,Paths
4469,98117,Crown Hill Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
4469,98117,Crown Hill Park,66,4 a.m. - 11:30 p.m.,Skate Dot
4469,98117,Crown Hill Park,28,4 a.m. - 11:30 p.m.,Skatepark
4469,98117,Crown Hill Park,48,4 a.m. - 11:30 p.m.,T-Ball
4400,98144,Daejeon Park,34,4 a.m. - 11:30 p.m.,View
499,98115,Dahl Playfield,45,4 a.m. - 11:30 p.m.,Baseball/Softball
499,98115,Dahl Playfield,4,4 a.m. - 11:30 p.m.,Basketball (Half)
499,98115,Dahl Playfield,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
499,98115,Dahl Playfield,27,4 a.m. - 11:30 p.m.,Restrooms
499,98115,Dahl Playfield,28,4 a.m. - 11:30 p.m.,Skatepark
499,98115,Dahl Playfield,44,4 a.m. - 11:30 p.m.,Soccer
499,98115,Dahl Playfield,35,4 a.m. - 11:30 p.m.,Wading Pool or Water Feature
331,98119,David Rodgers Park,33,4 a.m. - 11:30 p.m.,Paths
331,98119,David Rodgers Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
331,98119,David Rodgers Park,27,4 a.m. - 11:30 p.m.,Restrooms
331,98119,David Rodgers Park,30,4 a.m. - 11:30 p.m.,Tennis Backboard (Outdoor)
